RE41M09_R,RE41M05_R,RE41M07_R,RE41M10_R,RE41M13_R,RE41M15_R,RE41M02_R,RE41M11_R,RE41M14_R
30,15,14,152,5,15,60,14,158
31,77,40,96,25,62,40,41,223
76,204,34,53,22,23,63,28,35
0,1,0,0,1,0,1,0,0
17,67,2,133,35,104,65,164,285
17,20,17,21,43,18,30,60,2
57,329,99,0,30,14,189,2,1
93,20,34,54,6,14,8,27,78
13,14,13,29,5,10,33,21,0
21,77,23,53,6,17,20,75,282
6,45,19,137,46,5,31,11,57
6,6,13,32,9,5,14,4,99
11,9,8,152,4,7,24,4,60
4,16,12,24,7,4,4,4,15
73,23,16,139,10,27,46,3,234
146,41,84,38,15,37,56,14,54
13,61,100,39,60,30,17,73,100
43,33,399,34,7,20,34,24,232
5,36,4,27,4,60,58,15,6
67,58,3,19,15,6,103,39,21
4,5,2,12,3,6,7,4,28
86,0,72,38,20,15,13,22,67
11,5,3,24,5,248,6,9,347
28,67,67,71,8,29,54,62,12
20,11,25,159,62,63,41,31,124
3,25,40,92,35,15,105,343,204
62,26,22,175,17,33,29,21,4
13,10,96,30,30,26,2,20,17
190,84,27,147,25,6,89,11,73
62,65,35,26,6,15,76,15,134
150,31,356,248,12,115,97,24,62
19,20,8,13,40,9,0,5,42
26,7,10,35,6,7,12,7,73
65,28,10,72,4,17,12,10,130
68,0,69,0,69,0,77,24,391
18,8,8,35,7,6,255,66,12
98,56,35,97,11,8,41,9,102
42,20,39,50,9,94,0,35,165
29,26,30,376,34,71,26,56,165
15,47,9,25,6,22,12,29,87
16,49,48,11,19,7,111,17,96
80,42,79,141,7,20,108,17,219
18,10,15,13,9,19,27,13,6
13,80,33,98,12,13,124,23,227
10,26,52,57,0,70,124,17,1
19,39,100,237,12,34,1,19,63
1,10,29,30,54,1,0,28,22
18,10,16,270,6,8,48,9,145
52,9,11,32,13,19,17,44,61
18,17,16,141,12,7,26,19,497
154,56,14,0,19,66,51,12,158
44,23,44,61,6,12,37,14,194
17,14,8,70,11,13,12,23,81
21,13,21,41,25,55,16,100,119
90,69,66,12,38,33,2,57,249
17,58,154,84,18,16,53,1,59
33,15,11,139,10,23,24,19,73
13,11,20,65,8,12,25,43,173
14,23,24,0,14,11,46,1,55
17,12,12,116,53,18,24,37,118
30,25,19,118,63,15,106,14,125
54,66,43,42,6,48,27,48,56
90,10,85,73,13,26,103,11,283
13,65,21,118,8,8,101,24,81
7,7,18,25,29,14,11,15,72
14,37,10,52,42,17,14,52,96
5,6,8,62,10,1,17,8,141
23,32,24,0,41,10,13,26,192
4,6,6,0,6,13,18,5,2
13,31,14,30,6,11,26,16,123
72,33,33,35,16,9,295,21,8
18,17,20,27,21,32,23,71,5
0,63,32,2,54,35,66,32,57
34,35,50,326,0,0,77,2,0
11,16,30,89,9,25,25,29,13
21,45,0,83,8,16,18,153,173
1,23,0,21,5,9,2,9,1
116,30,67,90,11,43,67,223,435
58,25,44,68,13,25,44,172,194
70,16,23,85,35,26,56,20,130
174,59,45,73,6,53,69,37,193
79,34,37,112,6,36,52,49,307
32,43,3,165,9,43,41,65,145
29,13,5,21,2,6,10,4,35
3,1,19,0,2,15,19,2,95
2,61,151,1,236,97,27,140,168
32,74,71,72,20,50,177,122,328
30,58,32,92,13,19,63,29,223
30,26,55,62,77,36,145,35,224
74,33,17,7,1,40,111,61,1
35,20,13,36,16,35,29,18,242
59,47,16,187,12,18,18,82,100
19,13,16,13,14,0,33,18,18
22,4,22,117,25,80,55,24,211
22,20,67,55,8,14,79,2,276
12,22,23,14,9,5,38,3,5
31,18,22,86,6,17,4,54,165
86,15,32,99,19,15,60,40,393
106,25,39,65,94,52,41,47,335
29,107,15,138,50,103,27,26,467
169,60,13,59,9,29,18,19,107
22,47,21,49,28,43,24,33,28
26,32,57,187,47,13,65,59,477
65,30,51,53,14,62,35,30,115
38,64,58,39,17,24,14,8,121
42,14,28,31,4,8,1,29,41
0,0,0,0,44,19,0,0,488
20,8,9,91,7,16,80,23,150
290,52,117,162,36,96,136,181,35
7,24,14,110,7,12,18,3,33
125,73,1,61,6,66,15,41,303
47,18,15,66,8,14,25,35,85
72,30,9,27,11,68,90,66,126
7,8,5,11,8,4,15,9,99
70,18,28,18,6,210,52,62,152
19,9,10,47,6,16,19,14,72
0,0,0,2,0,0,7,0,0
73,54,31,33,6,16,15,26,181
14,1,79,157,12,22,19,24,252
14,10,20,33,7,10,31,15,85
95,35,183,42,14,41,45,26,166
25,16,17,20,12,42,9,42,84
31,25,42,103,36,14,29,19,150
12,7,10,35,6,10,19,14,31
16,14,36,375,10,21,83,27,69
25,27,44,63,31,23,18,52,127
71,34,32,49,5,14,14,50,210
13,60,21,54,27,14,15,28,237
41,29,28,37,22,22,28,33,196
6,13,5,19,10,17,3,9,3
84,32,197,179,85,29,136,31,233
44,26,33,7,28,90,37,40,1
5,25,12,208,18,0,33,62,21
15,85,78,94,79,48,22,59,522
23,38,13,68,16,16,40,76,195
0,28,12,5,8,2,18,25,73
40,125,7,22,4,30,15,7,63
7,19,29,3,0,0,44,2,0
89,65,44,92,39,18,117,19,73
53,35,51,86,55,140,85,71,167
83,36,21,40,33,48,41,116,82
6,0,0,72,10,52,23,57,428
26,19,64,92,15,29,65,25,92
28,61,20,254,6,22,166,13,83
46,12,18,33,6,17,20,25,88
0,36,77,50,46,24,17,46,120
33,24,15,120,13,3,15,16,95
15,19,75,72,10,9,82,46,154
12,109,114,58,45,37,55,78,319
5,22,15,135,5,4,30,19,75
194,40,109,155,47,47,66,47,450
13,69,17,143,20,11,42,10,2
163,58,22,310,96,69,35,58,129
33,14,67,43,8,18,14,18,84
42,49,13,156,15,25,1,28,51
80,25,199,141,4,5,82,5,107
129,25,87,135,4,13,305,4,16
29,10,6,114,4,14,9,16,228
23,48,10,43,13,25,33,12,125
